timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,accel_low_x,accel_low_y,accel_low_z,accel_high_x,accel_high_y,accel_high_z,gyro_x,gyro_y,gyro_z,altitude,velocity,apogee_primary_test_complete,apogee_secondary_test_complete,apogee_primary_test_results,apogee_secondary_test_results,main_primary_test_complete,main_secondary_test_complete,main_primary_test_results,main_secondary_test_results,broadcast_flag
51078,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,-0.01,0,-0.02,-0.01,0,-75,5.6,-1.4,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51080,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,-0.01,0.01,-0.04,-0.01,0.01,-75.2,5.6,-1.4,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51082,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,-0.01,0,-0.03,-0.01,0,-75.2,5.6,-1.3,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51084,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,-0.01,0.01,-0.03,-0.01,0.01,-75.2,5.6,-1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51086,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,-0.01,0,-0.02,-0.01,0,-75.4,5.6,-1.1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51088,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,0,0.01,-0.04,0,0.01,-75.4,5.5,-1.1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51090,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.01,0,0,-0.01,0,0,-75.4,5.4,-1.2,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51092,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,0,0,-0.04,0,0,-75.2,5.7,-1.3,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51094,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.01,0,0,-0.01,0,0,-75.2,5.8,-1.4,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51096,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.05,-0.01,0,-0.05,-0.01,0,-75.2,5.7,-1.2,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
