timestamp_ms,rssi,snr,timestamp_s_server_side,total_packet_count_av,total_packet_count_gse,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,GPS_latitude,GPS_longitude,nav_status,qw,qx,qy,qz
369.297000000021,-86,9,0.443788796879971,1,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
1128.86800000002,-86,9,1.20379856249997,3,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
1888.89799999981,-86,9,1.96380832812997,5,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
2649.27099999995,-86,9,2.72381809374997,7,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
3409.01899999985,-86,9,3.48394992968997,9,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
4169.46899999981,-86,9,4.24395969530997,11,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
4929.27299999981,-86,9,5.00396946093997,13,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
5689.11199999997,-85,9,5.76397922655997,15,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
6449.1379999998,-86,9,6.52398899218997,17,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
7209.43599999975,-86,9,7.28412082812997,19,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
7969.25399999972,-86,9,8.04413059374997,21,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
8729.37299999991,-86,10,8.80426242968997,23,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
9489.35099999979,-86,9,9.56427219530997,25,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
10249.6019999997,-86,9,10.32440403125,27,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
11009.608,-85,9,11.08453586719,29,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
11769.8689999999,-86,9,11.8444235625,31,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
12529.4999999998,-86,9,12.60431125781,33,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
13290.0849999997,-86,9,13.36444309375,35,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
14049.7779999999,-86,10,14.12457492969,37,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
14809.912,-85,10,14.88482883594,39,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
15569.6840000001,-85,9,15.64459446094,41,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
16329.7069999999,-86,10,16.40460422656,43,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
17089.7509999999,-86,9,17.1647360625,45,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
17849.7909999997,-86,9,17.92462375781,47,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
18610.1949999998,-86,9,18.68475559375,49,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
19370.338,-86,9,19.44488742969,51,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
20129.942,-87,8,20.204775125,53,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
20889.993,-87,9,20.96490696094,55,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
21650.46,-87,9,21.72491672656,57,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
22410.5709999998,-86,9,22.4850485625,59,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
23170.1299999999,-86,9,23.24505832813,61,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
23930.6189999999,-86,9,24.00506809375,63,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
24690.23,-86,9,24.76519992969,65,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
25450.2869999998,-86,9,25.525087625,67,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
26210.3230000001,-86,9,26.28521946094,69,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
26970.3839999998,-86,9,27.04535129688,71,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
27730.814,-86,9,27.80523899219,73,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
28490.46,-85,10,28.56537082813,75,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
29251.0379999999,-87,8,29.32550266406,77,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
30010.5719999999,-87,9,30.08551242969,79,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
30770.943,-87,9,30.84564426563,81,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
31531.044,-87,9,31.60553196094,83,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
32290.7319999998,-88,9,32.36566379688,85,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
33050.744,-87,9,33.12579563281,87,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
33810.8000000001,-88,9,33.88568332813,89,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
34570.8600000001,-87,9,34.64581516406,91,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
35330.9349999998,-88,9,35.40582492969,93,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
36091.4179999998,-88,9,36.16583469531,95,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
36851.041,-88,9,36.92596653125,97,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
37611.8489999999,-87,9,37.68609836719,99,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
38371.2120000001,-87,9,38.44610813281,101,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
39132.4399999997,-88,9,39.20611789844,103,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
39891.291,-87,8,39.96612766406,105,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
40651.355,-86,9,40.7262595,107,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
41411.3399999999,-87,8,41.48614719531,109,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
42171.3729999999,-86,9,42.24627903125,111,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
42931.4169999999,-86,9,43.00628879688,113,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
43691.9080000001,-86,9,43.7662985625,115,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
44450.6979999999,-87,9,44.52557590625,117,0,0,0,0,0,0,0,0,0,NF,0,0,0,0
