timestamp_ms,rssi,snr,manual_purge_activated,o2_fill_activated,selector_switch_neutral_position,n20_fill_activated,ignition_fired,ignition_selected,gas_fill_selected,system_activated,internal_temp,wind_speed,gas_bottle_weight_1,gas_bottle_weight_2,analog_voltage_input_1,analog_voltage_input_2,additional_current_input_1,additional_current_input_2,ignition_error,relay_3_error,relay_2_error,relay_1_error,thermocouple_4_error,thermocouple_3_error,thermocouple_2_error,thermocouple_1_error,load_cell_4_error,load_cell_3_error,load_cell_2_error,load_cell_1_error,transducer_4_error,transducer_3_error,transducer_2_error,transducer_1_error
1828647.161,-82.0,10.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1834739.673,-82.0,10.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1840833.983,-82.0,10.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1846925.578,-83.0,10.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1853018.505,-82.0,10.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1859112.48,-83.0,11.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1865204.5820000002,-82.0,10.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1871294.944,-82.0,10.0,False,False,False,False,False,False,False,False,16.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1892170.582,-82.0,11.0,False,False,False,False,False,False,False,False,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1897579.233,-82.0,10.0,False,False,False,False,False,False,False,False,17.0,0.0,0,0,0.0,0.0,0.012210012413561344,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1902986.271,-82.0,10.0,False,False,False,False,False,False,False,False,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1908392.918,-82.0,10.0,False,False,False,False,False,False,False,False,17.0,0.0,15432,3201,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
