timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,GPS_latitude,GPS_longitude,nav_status,qw,qx,qy,qz
7302.027,-33.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
10308.0,-33.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
12260.014,-33.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
14212.172,-34.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
16164.162,-34.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
19170.397,-33.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
21124.39,-33.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
24130.431,-34.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
26082.545,-34.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
28034.576999999997,-34.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
29986.647,-31.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
32992.441999999995,-31.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
35998.839,-33.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
39004.754,-36.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
42011.902,-32.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
45017.995,-32.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
46969.304000000004,-32.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
48921.269,-52.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
51930.082,-35.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
54934.458999999995,-53.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
56886.483,-51.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
58838.473,-50.0,9.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
60791.141,-52.0,9.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
62743.614,-54.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
65749.723,-51.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
68755.39499999999,-47.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
70707.41200000001,-33.0,9.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
73713.679,-41.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
76719.75899999999,-37.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
79725.814,-48.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
82731.805,-47.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
84683.94,-48.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
87689.336,-47.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
90695.873,-48.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
92647.41600000001,-42.0,9.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
95653.492,-41.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
98660.284,-39.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
100612.32800000001,-34.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
103617.773,-39.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
106623.74699999999,-36.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
109629.765,-37.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
112636.011,-38.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
114588.006,-39.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
117594.007,-40.0,9.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
119546.112,-40.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
121498.18500000001,-41.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
123450.973,-41.0,11.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
126456.26,-37.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
128408.387,-36.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
131414.414,-36.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
134421.32200000001,-39.0,9.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
137426.565,-42.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
140432.626,-40.0,9.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
142384.785,-44.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
145390.859,-49.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
147342.827,-44.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
149295.003,-44.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
151247.897,-31.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
153201.614,-35.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
156205.885,-39.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
158158.02500000002,-42.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
160110.766,-35.0,9.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
163116.27,-44.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
165068.296,-30.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
168074.278,-47.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
171079.551,-47.0,11.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
174085.766,-39.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
176037.762,-41.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
177989.872,-39.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
179942.377,-38.0,9.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
182947.862,-50.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
185953.942,-31.0,11.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
188960.05500000002,-35.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
191966.182,-35.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
194972.115,-35.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
197978.31,-36.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
199930.337,-36.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
201882.408,-38.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0380859375,NA,1.0,0.0,0.0,0.0
203835.257,-37.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0380859375,NA,1.0,0.0,0.0,0.0
205787.279,-38.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
207738.538,-38.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
209690.731,-37.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
211643.756,-37.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
213594.973,-40.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
216601.06,-35.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0380859375,NA,1.0,0.0,0.0,0.0
219610.604,-49.0,9.0,0,False,False,False,False,False,-3628.9208984375,14401.0380859375,NA,1.0,0.0,0.0,0.0
222615.91,-49.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
224566.37699999998,-48.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
226518.444,-34.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
228470.10499999998,-34.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
231476.13,-41.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
236798.00900000002,-40.0,9.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
237488.45,-38.0,11.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
239440.388,-39.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
241392.435,-54.0,9.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
243345.43,-53.0,9.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
245297.659,-46.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
248302.68899999998,-45.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
251308.84399999998,-44.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
254315.681,-42.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
257320.897,-51.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
259272.983,-35.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
262279.067,-44.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
265285.254,-36.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
267237.914,-36.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
269189.36100000003,-42.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
271141.398,-43.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
273094.207,-44.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
275046.186,-45.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
278051.574,-44.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
284302.872,-39.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
284316.933,-40.0,10.0,0,False,False,False,False,False,-3628.921630859375,14401.0390625,NA,1.0,0.0,0.0,0.0
284961.746,-39.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
287967.849,-37.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
290974.202,-42.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
293979.99600000004,-43.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
296986.022,-31.0,10.0,0,False,False,False,False,False,-3628.92138671875,14401.0390625,NA,1.0,0.0,0.0,0.0
299992.522,-30.0,9.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
302998.282,-33.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
306004.34,-37.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
309010.41199999995,-39.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0380859375,NA,1.0,0.0,0.0,0.0
312016.643,-39.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0380859375,NA,1.0,0.0,0.0,0.0
313968.663,-38.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0380859375,NA,1.0,0.0,0.0,0.0
316974.772,-34.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
318926.867,-38.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
320879.73899999994,-39.0,10.0,0,False,False,False,False,False,-3628.920654296875,14401.0390625,NA,1.0,0.0,0.0,0.0
322831.677,-38.0,10.0,0,False,False,False,False,False,-3628.920654296875,14401.0390625,NA,1.0,0.0,0.0,0.0
324783.773,-37.0,10.0,0,False,False,False,False,False,-3628.920654296875,14401.0390625,NA,1.0,0.0,0.0,0.0
327789.023,-44.0,10.0,0,False,False,False,False,False,-3628.920654296875,14401.0390625,NA,1.0,0.0,0.0,0.0
330795.214,-47.0,10.0,0,False,False,False,False,False,-3628.920654296875,14401.0390625,NA,1.0,0.0,0.0,0.0
333801.984,-46.0,9.0,0,False,False,False,False,False,-3628.920654296875,14401.0390625,NA,1.0,0.0,0.0,0.0
335754.043,-47.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
337706.15400000004,-44.0,9.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
339658.177,-46.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
342663.489,-46.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
344615.463,-46.0,9.0,0,False,False,False,False,False,-3628.9208984375,14401.0390625,NA,1.0,0.0,0.0,0.0
347624.63300000003,-45.0,10.0,0,False,False,False,False,False,-3628.9208984375,14401.0400390625,NA,1.0,0.0,0.0,0.0
349576.742,-44.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
351528.844,-43.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
353481.158,-44.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
356486.128,-47.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
358438.374,-49.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
360391.062,-50.0,10.0,0,False,False,False,False,False,-3628.921142578125,14401.0390625,NA,1.0,0.0,0.0,0.0
573598.445,-40.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
580748.051,-42.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
592344.565,-39.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
594296.498,-42.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
597305.709,-38.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
631558.797,-38.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
694586.828,-39.0,10.0,0,False,False,False,False,False,0.0,0.0,NA,1.0,0.0,0.0,0.0
725060.5040000001,-40.0,10.0,0,False,False,False,False,False,-3628.923828125,14401.0380859375,NA,1.0,0.0,0.0,0.0
