timestamp_ms_log_time,rssi,snr,timestamp_s_server_side,total_packet_count_av,total_packet_count_gse,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,accel_low_x,accel_low_y,accel_low_z,accel_high_x,accel_high_y,accel_high_z,gyro_x,gyro_y,gyro_z,altitude,velocity,apogee_primary_test_complete,apogee_secondary_test_complete,apogee_primary_test_results,apogee_secondary_test_results,main_primary_test_complete,main_secondary_test_complete,main_primary_test_results,main_secondary_test_results,broadcast_flag
163034.42,-114.0,-9.0,163.16082763671875,40,0,0,False,False,False,False,False,-0.0556640625,0.0673828125,-0.9775390625,0.01171875,-0.0927734375,1.0380859375,-0.026250001043081284,0.05250000208616257,1.9512499570846558,3.5999755859375,0.0,False,False,False,False,False,False,False,False,False
163484.314,-112.0,-7.0,163.6107177734375,42,0,0,False,False,False,False,False,-0.01611328125,0.01318359375,-1.01513671875,-0.0244140625,-0.0400390625,1.0400390625,0.5687500238418579,0.5950000286102295,0.3062500059604645,3.5999755859375,0.0,False,False,False,False,False,False,False,False,False
163934.307,-112.0,-8.0,164.06076049804688,44,0,0,False,False,False,False,False,-0.05126953125,0.09228515625,-0.99072265625,-0.0009765625,-0.103515625,1.041015625,-1.1024999618530273,0.23624999821186066,-1.128749966621399,3.5,0.0,False,False,False,False,False,False,False,False,False
164384.348,-110.0,-6.0,164.5107879638672,46,0,0,False,False,False,False,False,-0.03271484375,0.02099609375,-0.99365234375,-0.0166015625,-0.05859375,1.056640625,-0.35875001549720764,-0.17499999701976776,-0.6825000047683716,3.5,0.0,False,False,False,False,False,False,False,False,False
164834.475,-113.0,-6.0,164.9609375,48,0,0,False,False,False,False,False,-0.01513671875,0.06201171875,-0.99755859375,-0.0361328125,-0.0927734375,1.041015625,-0.6037499904632568,-0.3149999976158142,-1.1549999713897705,3.4000244140625,0.0,False,False,False,False,False,False,False,False,False
165734.42299999998,-120.0,-14.0,165.86087036132812,50,0,0,False,False,False,False,False,0.01904296875,0.03955078125,-0.99560546875,-0.0595703125,-0.056640625,1.052734375,-0.3412500023841858,-0.12250000238418579,-0.1837500035762787,3.4000244140625,0.0,False,False,False,False,False,False,False,False,False
166184.434,-122.0,-14.0,166.31088256835938,52,0,0,False,False,False,False,False,-0.04443359375,0.0859375,-0.99169921875,-0.0068359375,-0.083984375,1.01953125,-0.07874999940395355,-0.09624999761581421,-0.65625,3.20001220703125,0.0,False,False,False,False,False,False,False,False,False
169784.761,-113.0,-12.0,169.9112091064453,56,0,0,False,False,False,False,False,-0.005859375,0.06103515625,-0.9833984375,-0.0419921875,-0.0888671875,1.02734375,-0.026250001043081284,0.7175000309944153,-0.061250001192092896,2.79998779296875,0.0,False,False,False,False,False,False,False,False,False
170234.884,-111.0,-10.0,170.36135864257812,58,0,0,False,False,False,False,False,-0.005859375,0.02685546875,-0.990234375,-0.056640625,-0.052734375,1.0400390625,0.03500000014901161,-0.3675000071525574,-2.1875,2.79998779296875,0.0,False,False,False,False,False,False,False,False,False
170684.77899999998,-99.0,-4.0,170.81124877929688,60,0,0,False,False,False,False,False,-0.037109375,0.046875,-0.99658203125,-0.01953125,-0.0771484375,1.041015625,0.5074999928474426,-0.3412500023841858,-0.6037499904632568,2.79998779296875,0.0,False,False,False,False,False,False,False,False,False
171134.772,-97.0,-1.0,171.26124572753906,62,0,0,False,False,False,False,False,0.0146484375,0.0302734375,-0.9892578125,-0.0458984375,-0.0498046875,1.04296875,0.5950000286102295,0.3149999976158142,0.26249998807907104,2.70001220703125,0.0,False,False,False,False,False,False,False,False,False
171584.766,-96.0,7.0,171.71119689941406,64,0,0,False,False,False,False,False,-0.0322265625,0.04345703125,-0.9853515625,-0.0,-0.0615234375,1.04296875,-0.33250001072883606,0.08749999850988388,1.0850000381469727,2.70001220703125,0.0,False,False,False,False,False,False,False,False,False
172034.91,-97.0,6.0,172.16136169433594,66,0,0,False,False,False,False,False,-0.02392578125,0.02734375,-0.98876953125,-0.046875,-0.064453125,1.0166015625,0.26249998807907104,0.35875001549720764,0.5425000190734863,2.70001220703125,0.0,False,False,False,False,False,False,False,False,False
172484.808,-98.0,6.0,172.6112518310547,68,0,0,False,False,False,False,False,-0.0029296875,0.0263671875,-0.9833984375,-0.03515625,-0.072265625,1.037109375,-1.1987500190734863,-0.3062500059604645,0.11375000327825546,2.70001220703125,0.0,False,False,False,False,False,False,False,False,False
172934.831,-98.0,4.0,173.061279296875,70,0,0,False,False,False,False,False,-0.0478515625,0.06591796875,-0.990234375,-0.0068359375,-0.0830078125,1.037109375,-0.3499999940395355,0.12250000238418579,1.1375000476837158,2.5999755859375,0.0,False,False,False,False,False,False,False,False,False
173384.84399999998,-99.0,3.0,173.5113067626953,72,0,0,False,False,False,False,False,-0.00439453125,0.0283203125,-0.99658203125,-0.0380859375,-0.0576171875,1.0400390625,-0.4637500047683716,-0.10500000417232513,-0.5774999856948853,2.5999755859375,0.0,False,False,False,False,False,False,False,False,False
173835.189,-99.0,2.0,173.9615478515625,74,0,0,False,False,False,False,False,-0.0390625,0.07177734375,-0.990234375,-0.0087890625,-0.091796875,1.0302734375,-0.44624999165534973,-0.9887499809265137,-0.7699999809265137,2.5999755859375,0.0,False,False,False,False,False,False,False,False,False
174284.937,-99.0,3.0,174.41143798828125,76,0,0,False,False,False,False,False,-0.009765625,0.04345703125,-1.0009765625,-0.0302734375,-0.064453125,1.037109375,1.1987500190734863,0.2800000011920929,-0.017500000074505806,2.5999755859375,0.0,False,False,False,False,False,False,False,False,False
